gpu,N,rep,variant,median_ms
NVIDIA_A100-SXM4-80GB,128,1,baseline,0.4357
NVIDIA_A100-SXM4-80GB,128,1,soa,0.2985
NVIDIA_A100-SXM4-80GB,128,1,soa_b128,0.3016
NVIDIA_A100-SXM4-80GB,128,1,soa_b512,0.2949
NVIDIA_A100-SXM4-80GB,128,1,soa_ldcs,0.3057
NVIDIA_A100-SXM4-80GB,128,2,baseline,0.4367
NVIDIA_A100-SXM4-80GB,128,2,soa,0.2964
NVIDIA_A100-SXM4-80GB,128,2,soa_b128,0.3016
NVIDIA_A100-SXM4-80GB,128,2,soa_b512,0.2944
NVIDIA_A100-SXM4-80GB,128,2,soa_ldcs,0.3072
NVIDIA_A100-SXM4-80GB,128,3,baseline,0.4362
NVIDIA_A100-SXM4-80GB,128,3,soa,0.2985
NVIDIA_A100-SXM4-80GB,128,3,soa_b128,0.3026
NVIDIA_A100-SXM4-80GB,128,3,soa_b512,0.2959
NVIDIA_A100-SXM4-80GB,128,3,soa_ldcs,0.3052
NVIDIA_A100-SXM4-80GB,192,1,baseline,1.4449
NVIDIA_A100-SXM4-80GB,192,1,soa,0.9892
NVIDIA_A100-SXM4-80GB,192,1,soa_b128,0.9984
NVIDIA_A100-SXM4-80GB,192,1,soa_b512,0.9774
NVIDIA_A100-SXM4-80GB,192,1,soa_ldcs,1.0158
NVIDIA_A100-SXM4-80GB,192,2,baseline,1.4449
NVIDIA_A100-SXM4-80GB,192,2,soa,0.9882
NVIDIA_A100-SXM4-80GB,192,2,soa_b128,0.9994
NVIDIA_A100-SXM4-80GB,192,2,soa_b512,0.9779
NVIDIA_A100-SXM4-80GB,192,2,soa_ldcs,1.0153
NVIDIA_A100-SXM4-80GB,192,3,baseline,1.4444
NVIDIA_A100-SXM4-80GB,192,3,soa,0.9897
NVIDIA_A100-SXM4-80GB,192,3,soa_b128,0.9989
NVIDIA_A100-SXM4-80GB,192,3,soa_b512,0.9764
NVIDIA_A100-SXM4-80GB,192,3,soa_ldcs,1.0143
NVIDIA_A100-SXM4-80GB,256,1,baseline,3.3715
NVIDIA_A100-SXM4-80GB,256,1,soa,2.3547
NVIDIA_A100-SXM4-80GB,256,1,soa_b128,2.3491
NVIDIA_A100-SXM4-80GB,256,1,soa_b512,2.3030
NVIDIA_A100-SXM4-80GB,256,1,soa_ldcs,2.3721
NVIDIA_A100-SXM4-80GB,256,2,baseline,3.3341
NVIDIA_A100-SXM4-80GB,256,2,soa,2.3363
NVIDIA_A100-SXM4-80GB,256,2,soa_b128,2.3491
NVIDIA_A100-SXM4-80GB,256,2,soa_b512,2.3020
NVIDIA_A100-SXM4-80GB,256,2,soa_ldcs,2.3711
NVIDIA_A100-SXM4-80GB,256,3,baseline,3.3623
NVIDIA_A100-SXM4-80GB,256,3,soa,2.3511
NVIDIA_A100-SXM4-80GB,256,3,soa_b128,2.3629
NVIDIA_A100-SXM4-80GB,256,3,soa_b512,2.3168
NVIDIA_A100-SXM4-80GB,256,3,soa_ldcs,2.3946
NVIDIA_A100-SXM4-80GB,320,1,baseline,6.6442
NVIDIA_A100-SXM4-80GB,320,1,soa,4.5635
NVIDIA_A100-SXM4-80GB,320,1,soa_b128,4.5839
NVIDIA_A100-SXM4-80GB,320,1,soa_b512,4.5061
NVIDIA_A100-SXM4-80GB,320,1,soa_ldcs,4.6213
NVIDIA_A100-SXM4-80GB,320,2,baseline,6.6417
NVIDIA_A100-SXM4-80GB,320,2,soa,4.5619
NVIDIA_A100-SXM4-80GB,320,2,soa_b128,4.5850
NVIDIA_A100-SXM4-80GB,320,2,soa_b512,4.5046
NVIDIA_A100-SXM4-80GB,320,2,soa_ldcs,4.6208
NVIDIA_A100-SXM4-80GB,320,3,baseline,6.6437
NVIDIA_A100-SXM4-80GB,320,3,soa,4.5594
NVIDIA_A100-SXM4-80GB,320,3,soa_b128,4.5855
NVIDIA_A100-SXM4-80GB,320,3,soa_b512,4.5046
NVIDIA_A100-SXM4-80GB,320,3,soa_ldcs,4.6208
NVIDIA_A100-SXM4-80GB,384,1,baseline,12.0458
NVIDIA_A100-SXM4-80GB,384,1,soa,8.0225
NVIDIA_A100-SXM4-80GB,384,1,soa_b128,7.9790
NVIDIA_A100-SXM4-80GB,384,1,soa_b512,7.8715
NVIDIA_A100-SXM4-80GB,384,1,soa_ldcs,7.9882
NVIDIA_A100-SXM4-80GB,384,2,baseline,12.0632
NVIDIA_A100-SXM4-80GB,384,2,soa,7.9416
NVIDIA_A100-SXM4-80GB,384,2,soa_b128,7.9739
NVIDIA_A100-SXM4-80GB,384,2,soa_b512,7.8740
NVIDIA_A100-SXM4-80GB,384,2,soa_ldcs,7.9913
NVIDIA_A100-SXM4-80GB,384,3,baseline,11.8753
NVIDIA_A100-SXM4-80GB,384,3,soa,7.9703
NVIDIA_A100-SXM4-80GB,384,3,soa_b128,7.9754
NVIDIA_A100-SXM4-80GB,384,3,soa_b512,7.8710
NVIDIA_A100-SXM4-80GB,384,3,soa_ldcs,7.9939
